framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,218,4632,12,0.8586,0.0312,484.5,331.5,29.747,,,0.040323,True
ezkl,linear,219,4632,12,0.9371,0.0289,477.0,331.4,29.766,,,0.026415,True
ezkl,linear,220,4632,12,0.8597,0.0292,456.0,331.6,29.835,,,0.012848,True
ezkl,linear,221,4632,12,0.7599,0.0305,485.6,332.7,29.789,,,0.02518,True
ezkl,linear,222,4632,12,0.7846,0.0293,484.3,331.6,29.878,,,0.045405,True
ezkl,linear,223,4632,12,0.7966,0.0292,472.0,331.6,29.754,,,0.073313,True
ezkl,linear,224,4632,12,0.8739,0.03,453.1,331.6,29.767,,,0.01255,True
ezkl,linear,225,4632,12,0.942,0.03,495.8,333.6,29.766,,,0.03583,True
ezkl,linear,226,4632,12,0.9757,0.0337,516.6,333.5,29.783,,,0.045748,True
ezkl,linear,227,4632,12,0.852,0.0295,467.1,335.5,29.856,,,0.192068,True
ezkl,linear,228,4632,12,0.8067,0.0312,474.8,334.5,29.751,,,0.018628,True
ezkl,linear,229,4632,12,0.8295,0.0301,475.0,334.6,29.807,,,0.026582,True
ezkl,linear,230,4632,12,0.8089,0.0283,462.3,331.4,29.845,,,0.038694,True
ezkl,linear,231,4632,12,1.0945,0.0336,419.4,334.4,29.792,,,0.045253,True
ezkl,linear,232,4632,12,0.8408,0.0322,484.1,335.7,29.866,,,0.04131,True
ezkl,linear,233,4632,12,1.0241,0.035,468.7,334.6,29.764,,,0.018116,True
ezkl,linear,234,4632,12,0.875,0.0305,473.1,331.8,29.816,,,0.043326,True
ezkl,linear,235,4632,12,0.8329,0.0336,486.3,334.9,29.816,,,0.050662,True
ezkl,linear,236,4632,12,0.8244,0.0271,454.9,334.9,29.88,,,0.112829,True
ezkl,linear,237,4632,12,0.8447,0.0281,467.6,331.9,29.777,,,0.009059,True
ezkl,linear,238,4632,12,0.8475,0.0303,481.4,334.8,29.864,,,0.083559,True
ezkl,linear,239,4632,12,0.8105,0.0295,463.9,334.8,29.811,,,0.011734,True
