framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,dlinear,158,4632,12,0.8199,0.0296,474.4,334.5,29.792,,,0.011661,True
ezkl,dlinear,159,4632,12,0.799,0.0304,478.1,334.6,29.821,,,0.048444,True
ezkl,dlinear,160,4632,12,0.8054,0.0292,480.5,336.6,29.84,,,0.029653,True
ezkl,dlinear,161,4632,12,0.8238,0.0295,474.7,334.7,29.842,,,0.029269,True
ezkl,dlinear,162,4632,12,0.8457,0.0297,471.8,335.6,29.838,,,0.018554,True
ezkl,dlinear,163,4632,12,0.7772,0.0298,472.2,332.4,29.732,,,0.033279,True
ezkl,dlinear,164,4632,12,0.8642,0.0284,476.7,335.5,29.828,,,0.029192,True
ezkl,dlinear,165,4632,12,0.8169,0.0302,484.8,335.2,29.789,,,0.032217,True
ezkl,dlinear,166,4632,12,0.7625,0.0307,476.1,335.5,29.838,,,0.04673,True
ezkl,dlinear,167,4632,12,0.8048,0.03,483.4,335.5,29.829,,,0.005791,True
ezkl,dlinear,168,4632,12,0.8248,0.03,472.8,335.5,29.942,,,0.023442,True
ezkl,dlinear,169,4632,12,0.7952,0.0288,477.9,335.6,29.882,,,0.043677,True
ezkl,dlinear,170,4632,12,0.9763,0.0332,483.5,335.6,29.828,,,0.052103,True
ezkl,dlinear,171,4632,12,1.013,0.0303,473.8,337.4,29.864,,,0.030932,True
ezkl,dlinear,172,4632,12,0.8299,0.0312,474.7,335.6,29.81,,,0.01381,True
ezkl,dlinear,173,4632,12,0.7646,0.0319,477.4,335.7,29.808,,,0.04629,True
ezkl,dlinear,174,4632,12,0.8285,0.0305,482.8,332.8,29.891,,,0.019317,True
ezkl,dlinear,175,4632,12,0.8391,0.0303,477.9,335.4,29.899,,,0.012376,True
ezkl,dlinear,176,4632,12,0.817,0.0311,489.6,332.6,29.78,,,0.014454,True
ezkl,dlinear,177,4632,12,0.7536,0.0287,484.4,335.6,29.784,,,0.010695,True
ezkl,dlinear,178,4632,12,0.7695,0.0281,479.5,332.7,29.86,,,0.013485,True
ezkl,dlinear,179,4632,12,0.8359,0.0325,486.9,336.4,29.817,,,0.028328,True
ezkl,dlinear,180,4632,12,0.861,0.03,486.6,335.6,29.843,,,0.01329,True
ezkl,dlinear,181,4632,12,0.8262,0.0277,474.4,335.6,29.878,,,0.01044,True
ezkl,dlinear,182,4632,12,0.8355,0.0282,485.9,335.6,29.851,,,0.00033,True
ezkl,dlinear,183,4632,12,0.8953,0.029,473.6,335.5,29.851,,,0.054699,True
ezkl,dlinear,184,4632,12,0.9366,0.0316,475.1,337.2,29.871,,,0.015293,True
ezkl,dlinear,185,4632,12,0.8277,0.0315,486.9,331.7,29.791,,,0.014101,True
ezkl,dlinear,186,4632,12,0.8058,0.0303,464.1,334.9,29.813,,,0.011706,True
ezkl,dlinear,187,4632,12,0.8552,0.0287,447.9,332.9,29.824,,,0.023499,True
ezkl,dlinear,188,4632,12,0.8035,0.0302,492.9,333.8,29.827,,,0.297082,True
ezkl,dlinear,189,4632,12,0.794,0.0302,484.9,333.9,29.853,,,0.022944,True
ezkl,dlinear,190,4632,12,0.8344,0.0322,484.2,332.9,29.851,,,0.011814,True
ezkl,dlinear,191,4632,12,0.8071,0.0281,478.3,333.8,29.876,,,0.010885,True
ezkl,dlinear,192,4632,12,0.7821,0.0292,475.6,334.9,29.83,,,0.063437,True
ezkl,dlinear,193,4632,12,0.8041,0.0281,475.0,331.4,29.852,,,0.026015,True
ezkl,dlinear,194,4632,12,0.8249,0.0301,484.9,332.4,29.871,,,0.013567,True
ezkl,dlinear,195,4632,12,0.8119,0.032,475.4,331.5,29.74,,,0.144508,True
ezkl,dlinear,196,4632,12,0.8218,0.0298,480.7,331.5,29.854,,,0.169156,True
ezkl,dlinear,197,4632,12,0.8395,0.0308,482.4,331.4,29.837,,,0.037028,True
ezkl,dlinear,198,4632,12,0.863,0.0301,477.4,332.5,29.873,,,0.011868,True
ezkl,dlinear,199,4632,12,0.8531,0.0272,480.6,335.5,29.865,,,0.032806,True
ezkl,dlinear,200,4632,12,0.8145,0.0259,496.0,335.3,29.863,,,0.144579,True
ezkl,dlinear,201,4632,12,0.8394,0.03,478.9,337.4,29.832,,,0.156816,True
ezkl,dlinear,202,4632,12,0.8395,0.0295,474.1,335.4,29.844,,,0.010837,True
ezkl,dlinear,203,4632,12,0.8266,0.03,479.1,335.3,29.766,,,0.037971,True
ezkl,dlinear,204,4632,12,0.775,0.0319,473.5,335.3,29.798,,,0.013056,True
ezkl,dlinear,205,4632,12,0.8331,0.0298,472.9,335.2,29.855,,,0.035544,True
ezkl,dlinear,206,4632,12,1.0507,0.0364,457.8,335.2,29.838,,,0.010708,True
ezkl,dlinear,207,4632,12,0.986,0.0308,484.8,335.3,29.747,,,0.021408,True
ezkl,dlinear,208,4632,12,0.8121,0.0285,476.6,335.2,29.889,,,0.013759,True
ezkl,dlinear,209,4632,12,0.8386,0.0332,474.6,338.8,29.772,,,0.055084,True
ezkl,dlinear,210,4632,12,0.8043,0.0297,477.4,337.0,29.787,,,0.016438,True
ezkl,dlinear,211,4632,12,0.8793,0.0305,474.3,336.8,29.851,,,0.018095,True
ezkl,dlinear,212,4632,12,0.8225,0.03,481.5,333.7,29.853,,,0.061527,True
ezkl,dlinear,213,4632,12,0.7985,0.0286,460.9,337.7,29.771,,,0.022762,True
ezkl,dlinear,214,4632,12,0.8354,0.0316,476.4,336.9,29.923,,,0.034427,True
ezkl,dlinear,215,4632,12,0.853,0.0313,460.7,337.0,29.772,,,0.013668,True
ezkl,dlinear,216,4632,12,0.8445,0.0298,481.9,338.9,29.857,,,0.032527,True
ezkl,dlinear,217,4632,12,0.8247,0.0297,482.6,336.9,29.937,,,0.028179,True
ezkl,dlinear,218,4632,12,0.8296,0.0322,472.5,337.0,29.744,,,0.026897,True
ezkl,dlinear,219,4632,12,0.7719,0.0297,476.8,337.3,29.843,,,0.044006,True
ezkl,dlinear,220,4632,12,0.8513,0.0285,468.7,337.4,29.814,,,0.010742,True
ezkl,dlinear,221,4632,12,0.7979,0.0302,461.2,339.1,29.864,,,0.021726,True
ezkl,dlinear,222,4632,12,0.8488,0.0307,486.6,337.2,29.828,,,0.088389,True
ezkl,dlinear,223,4632,12,0.7922,0.0284,458.2,337.3,29.896,,,0.099555,True
ezkl,dlinear,224,4632,12,1.08,0.0311,510.2,337.1,29.872,,,0.011955,True
ezkl,dlinear,225,4632,12,0.8626,0.03,471.8,337.1,29.854,,,0.018616,True
ezkl,dlinear,226,4632,12,0.8799,0.0301,478.5,339.2,29.798,,,0.043442,True
ezkl,dlinear,227,4632,12,0.8412,0.0294,460.1,337.2,29.808,,,0.189357,True
ezkl,dlinear,228,4632,12,0.8271,0.0295,481.2,337.2,29.783,,,0.026314,True
ezkl,dlinear,229,4632,12,0.8292,0.0308,472.7,337.3,29.822,,,0.024786,True
ezkl,dlinear,230,4632,12,0.8069,0.029,459.8,337.2,29.846,,,0.033266,True
ezkl,dlinear,231,4632,12,0.8269,0.0288,464.4,338.3,29.801,,,0.071702,True
ezkl,dlinear,232,4632,12,0.7641,0.0276,480.3,337.3,29.814,,,0.038261,True
ezkl,dlinear,233,4632,12,0.8274,0.0297,470.1,331.8,29.844,,,0.015241,True
ezkl,dlinear,234,4632,12,0.7587,0.0292,477.1,331.7,29.857,,,0.044366,True
ezkl,dlinear,235,4632,12,0.8067,0.0282,456.2,331.8,29.758,,,0.079355,True
ezkl,dlinear,236,4632,12,0.9741,0.0375,484.5,331.7,29.891,,,0.135047,True
ezkl,dlinear,237,4632,12,0.9217,0.0313,485.0,332.7,29.832,,,0.022248,True
ezkl,dlinear,238,4632,12,0.8275,0.031,485.8,333.6,29.849,,,0.093309,True
ezkl,dlinear,239,4632,12,0.7911,0.0279,474.0,334.6,29.808,,,0.018259,True
ezkl,dlinear,240,4632,12,0.8307,0.0323,480.3,334.4,29.843,,,0.046176,True
ezkl,dlinear,241,4632,12,0.8393,0.0293,481.4,336.2,29.874,,,0.069463,True
ezkl,dlinear,242,4632,12,0.8245,0.0286,465.7,336.0,29.824,,,0.042154,True
ezkl,dlinear,243,4632,12,0.802,0.0283,480.0,338.1,29.849,,,0.104534,True
ezkl,dlinear,244,4632,12,0.7732,0.0253,475.9,336.2,29.861,,,0.033308,True
ezkl,dlinear,245,4632,12,0.8047,0.0282,483.4,330.9,29.805,,,0.044915,True
ezkl,dlinear,246,4632,12,0.8692,0.0286,448.7,330.7,29.848,,,0.035081,True
ezkl,dlinear,247,4632,12,0.8801,0.0286,480.6,330.7,29.856,,,0.036055,True
ezkl,dlinear,248,4632,12,0.9225,0.0322,471.6,330.7,29.812,,,0.024695,True
ezkl,dlinear,249,4632,12,0.872,0.0333,484.0,332.7,29.863,,,0.017144,True
ezkl,dlinear,250,4632,12,0.8811,0.0323,481.2,332.6,29.833,,,0.018615,True
ezkl,dlinear,251,4632,12,1.3025,0.0375,449.9,332.5,29.816,,,0.03012,True
ezkl,dlinear,252,4632,12,0.9086,0.0327,467.8,332.6,29.913,,,0.024735,True
ezkl,dlinear,253,4632,12,1.2779,0.0314,467.9,332.6,29.838,,,0.010113,True
ezkl,dlinear,254,4632,12,0.8371,0.0409,479.1,332.7,29.799,,,0.023902,True
ezkl,dlinear,255,4632,12,0.8598,0.0287,474.5,333.6,29.854,,,0.034584,True
ezkl,dlinear,256,4632,12,0.777,0.0322,476.2,333.8,29.824,,,0.024678,True
ezkl,dlinear,257,4632,12,0.8259,0.0306,487.9,330.7,29.847,,,0.036216,True
ezkl,dlinear,258,4632,12,0.8179,0.0336,487.8,335.8,29.857,,,0.031652,True
ezkl,dlinear,259,4632,12,0.8771,0.0322,486.8,330.9,29.769,,,0.025723,True
ezkl,dlinear,260,4632,12,0.8275,0.0273,473.7,330.7,29.795,,,0.116585,True
ezkl,dlinear,261,4632,12,1.0839,0.0325,460.4,333.6,29.832,,,0.033129,True
ezkl,dlinear,262,4632,12,0.877,0.0317,480.0,335.4,29.781,,,0.028086,True
ezkl,dlinear,263,4632,12,0.8497,0.0288,459.0,333.5,29.82,,,0.033685,True
ezkl,dlinear,264,4632,12,1.0872,0.0311,425.9,333.7,29.819,,,0.032903,True
ezkl,dlinear,265,4632,12,0.8455,0.0268,480.2,330.8,29.842,,,0.015698,True
ezkl,dlinear,266,4632,12,0.8282,0.0281,474.6,333.5,29.793,,,0.033826,True
ezkl,dlinear,267,4632,12,0.8198,0.0314,486.7,333.6,29.795,,,0.011184,True
ezkl,dlinear,268,4632,12,0.8381,0.032,485.6,333.8,29.874,,,0.022285,True
ezkl,dlinear,269,4632,12,0.8286,0.0301,487.6,333.7,29.847,,,0.020998,True
ezkl,dlinear,270,4632,12,0.856,0.0296,487.1,333.6,29.873,,,0.027325,True
ezkl,dlinear,271,4632,12,0.7986,0.032,479.6,333.4,29.793,,,0.032537,True
ezkl,dlinear,272,4632,12,0.8289,0.0319,468.1,334.5,29.867,,,0.025208,True
ezkl,dlinear,273,4632,12,0.8247,0.0287,463.2,334.4,29.771,,,0.028041,True
ezkl,dlinear,274,4632,12,0.7832,0.0292,478.8,334.6,29.808,,,0.123832,True
ezkl,dlinear,275,4632,12,0.8478,0.0282,478.9,334.4,29.874,,,0.110056,True
ezkl,dlinear,276,4632,12,0.8341,0.0292,473.5,334.5,29.829,,,0.034105,True
ezkl,dlinear,277,4632,12,0.8594,0.0304,473.6,334.5,29.807,,,0.019235,True
ezkl,dlinear,278,4632,12,0.8332,0.029,472.9,334.4,29.866,,,0.016877,True
ezkl,dlinear,279,4632,12,0.7831,0.0277,473.8,334.4,29.817,,,0.038425,True
ezkl,dlinear,280,4632,12,0.8208,0.0289,475.1,334.4,29.847,,,0.033148,True
ezkl,dlinear,281,4632,12,0.8696,0.025,460.0,334.5,29.887,,,0.212324,True
ezkl,dlinear,282,4632,12,0.7671,0.028,479.7,334.5,29.82,,,0.039661,True
ezkl,dlinear,283,4632,12,0.8161,0.0317,485.3,334.5,29.772,,,0.01446,True
ezkl,dlinear,284,4632,12,0.8981,0.0312,467.7,331.5,29.827,,,0.019936,True
