framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,179,4632,12,0.828,0.016,0.001,0.385,40.033203125,4174.6,1.34,7.152557373046875e-07,0.015726,True
deepprove,nlinear,180,4632,12,0.82,0.017,0.001,0.351,40.033203125,4174.6,1.308,4.76837158203125e-07,0.017315,True
deepprove,nlinear,181,4632,12,0.896,0.018,0.001,0.374,40.033203125,4174.6,1.409,3.5762786865234375e-07,0.012045,True
deepprove,nlinear,182,4632,12,0.894,0.016,0.001,0.476,40.033203125,4174.6,1.508,1.1920928955078125e-07,6e-06,True
deepprove,nlinear,183,4632,12,0.809,0.018,0.001,0.346,40.033203125,4174.6,1.291,4.76837158203125e-07,0.042986,True
deepprove,nlinear,184,4632,12,0.855,0.018,0.001,0.365,40.033203125,4174.6,1.354,4.172325134277344e-07,0.023633,True
deepprove,nlinear,185,4632,12,1.08,0.018,0.001,0.364,40.033203125,4174.6,1.579,3.5762786865234375e-07,0.01012,True
deepprove,nlinear,186,4632,12,0.84,0.017,0.001,0.346,40.033203125,4174.6,1.316,5.960464477539062e-07,0.011017,True
deepprove,nlinear,187,4632,12,0.813,0.016,0.001,0.378,40.033203125,4174.6,1.323,2.384185791015625e-07,0.026041,True
deepprove,nlinear,188,4632,12,0.841,0.02,0.001,0.362,40.033203125,4174.6,1.341,3.5762786865234375e-07,0.264566,True
deepprove,nlinear,189,4632,12,0.958,0.02,0.001,0.452,40.033203125,4174.6,1.556,3.5762786865234375e-07,0.017005,True
deepprove,nlinear,190,4632,12,0.814,0.017,0.001,0.353,40.033203125,4174.6,1.301,3.5762786865234375e-07,0.012725,True
deepprove,nlinear,191,4632,12,0.809,0.018,0.001,0.369,40.033203125,4174.6,1.312,3.5762786865234375e-07,0.011776,True
deepprove,nlinear,192,4632,12,1.041,0.017,0.001,0.384,40.033203125,4174.6,1.56,3.5762786865234375e-07,0.05614,True
deepprove,nlinear,193,4632,12,0.889,0.017,0.001,0.44,40.033203125,4174.8,1.458,3.5762786865234375e-07,0.010688,True
deepprove,nlinear,194,4632,12,0.819,0.017,0.001,0.353,40.033203125,4174.6,1.304,4.76837158203125e-07,0.013482,True
deepprove,nlinear,195,4632,12,0.846,0.018,0.001,0.365,40.033203125,4174.6,1.349,4.76837158203125e-07,0.144283,True
deepprove,nlinear,196,4632,12,0.939,0.035,0.001,0.454,40.033203125,4174.6,1.55,5.960464477539062e-07,0.153964,True
deepprove,nlinear,197,4632,12,0.808,0.017,0.001,0.356,40.033203125,4174.6,1.305,3.5762786865234375e-07,0.036014,True
deepprove,nlinear,198,4632,12,0.828,0.018,0.001,0.554,40.033203125,4174.6,1.639,3.5762786865234375e-07,0.028125,True
deepprove,nlinear,199,4632,12,1.059,0.016,0.001,0.364,40.033203125,4174.6,1.552,4.76837158203125e-07,0.021203,True
deepprove,nlinear,200,4632,12,0.812,0.018,0.001,0.387,40.033203125,3406.6,1.329,2.384185791015625e-07,0.140879,True
deepprove,nlinear,201,4632,12,0.83,0.017,0.001,0.346,40.033203125,4174.6,1.311,4.76837158203125e-07,0.182317,True
deepprove,nlinear,202,4632,12,0.896,0.018,0.001,0.385,40.033203125,4174.6,1.417,5.960464477539062e-07,0.014254,True
deepprove,nlinear,203,4632,12,0.883,0.017,0.001,0.477,40.033203125,4174.6,1.496,5.960464477539062e-07,0.037957,True
deepprove,nlinear,204,4632,12,0.828,0.018,0.001,0.387,40.033203125,4174.6,1.348,5.960464477539062e-07,0.017147,True
deepprove,nlinear,205,4632,12,0.799,0.016,0.001,0.373,40.033203125,4174.6,1.302,4.76837158203125e-07,0.034579,True
deepprove,nlinear,206,4632,12,1.067,0.017,0.001,0.361,40.033203125,4174.6,1.56,5.960464477539062e-07,0.010648,True
deepprove,nlinear,207,4632,12,0.855,0.017,0.001,0.372,40.033203125,4174.6,1.362,4.172325134277344e-07,0.018986,True
deepprove,nlinear,208,4632,12,0.801,0.017,0.001,0.356,40.033203125,4174.6,1.296,5.960464477539062e-07,0.013432,True
deepprove,nlinear,209,4632,12,0.83,0.019,0.001,0.353,40.033203125,4174.6,1.317,4.76837158203125e-07,0.047028,True
deepprove,nlinear,210,4632,12,0.932,0.017,0.001,0.494,40.033203125,4174.6,1.558,3.5762786865234375e-07,0.011328,True
deepprove,nlinear,211,4632,12,0.8,0.019,0.001,0.37,40.033203125,4174.6,1.318,5.960464477539062e-07,0.026209,True
deepprove,nlinear,212,4632,12,0.854,0.02,0.001,0.36,40.033203125,4174.6,1.355,1.0728836059570312e-06,0.059235,True
deepprove,nlinear,213,4632,12,1.071,0.016,0.001,0.39,40.033203125,4174.6,1.594,3.5762786865234375e-07,0.022516,True
deepprove,nlinear,214,4632,12,0.792,0.019,0.001,0.381,40.033203125,4174.6,1.307,4.76837158203125e-07,0.038213,True
deepprove,nlinear,215,4632,12,0.863,0.017,0.001,0.373,40.033203125,4174.6,1.365,1.1920928955078125e-06,0.008551,True
deepprove,nlinear,216,4632,12,0.821,0.018,0.001,0.351,40.033203125,4174.6,1.308,3.5762786865234375e-07,0.026114,True
deepprove,nlinear,217,4632,12,0.946,0.018,0.001,0.485,40.033203125,4174.6,1.573,1.1920928955078125e-06,0.028244,True
deepprove,nlinear,218,4632,12,0.896,0.041,0.001,0.381,40.033203125,4174.6,1.501,5.960464477539062e-07,0.035078,True
deepprove,nlinear,219,4632,12,0.843,0.018,0.001,0.431,40.033203125,4174.6,1.448,3.5762786865234375e-07,0.028477,True
deepprove,nlinear,220,4632,12,1.029,0.017,0.001,0.38,40.033203125,4174.6,1.538,4.76837158203125e-07,0.01331,True
deepprove,nlinear,221,4632,12,0.825,0.017,0.001,0.38,40.033203125,4174.6,1.337,7.152557373046875e-07,0.026053,True
deepprove,nlinear,222,4632,12,0.824,0.018,0.001,0.352,40.033203125,4174.6,1.31,7.152557373046875e-07,0.059536,True
deepprove,nlinear,223,4632,12,0.903,0.02,0.001,0.356,40.033203125,4174.6,1.398,5.960464477539062e-07,0.103331,True
deepprove,nlinear,224,4632,12,0.881,0.017,0.001,0.504,40.033203125,4174.6,1.524,7.152557373046875e-07,0.009475,True
deepprove,nlinear,225,4632,12,0.857,0.017,0.001,0.38,40.033203125,4174.6,1.385,2.384185791015625e-07,0.03846,True
deepprove,nlinear,226,4632,12,0.837,0.018,0.001,0.352,40.033203125,4174.6,1.322,8.344650268554688e-07,0.039929,True
deepprove,nlinear,227,4632,12,1.105,0.017,0.001,0.348,40.033203125,4174.6,1.582,2.384185791015625e-07,0.233862,True
deepprove,nlinear,228,4632,12,0.821,0.019,0.001,0.364,40.033203125,4174.6,1.316,5.960464477539062e-07,0.01928,True
deepprove,nlinear,229,4632,12,0.815,0.016,0.001,0.358,40.033203125,4174.6,1.303,4.76837158203125e-07,0.023996,True
