framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,nlinear,258,4632,12,0.8318,0.029,480.9,345.0,29.832,,,0.037208,True
ezkl,nlinear,259,4632,12,0.8462,0.0282,470.3,345.2,29.818,,,0.048263,True
ezkl,nlinear,260,4632,12,0.8419,0.0314,473.9,340.1,29.804,,,0.110367,True
ezkl,nlinear,261,4632,12,0.79,0.0303,474.7,344.3,29.778,,,0.012071,True
ezkl,nlinear,262,4632,12,0.7866,0.03,464.0,343.1,29.789,,,0.024102,True
ezkl,nlinear,263,4632,12,0.8702,0.0285,476.9,340.2,29.795,,,0.03235,True
ezkl,nlinear,264,4632,12,0.8781,0.0296,472.6,343.1,29.779,,,0.035498,True
ezkl,nlinear,265,4632,12,0.8873,0.0302,485.8,343.1,29.784,,,0.018692,True
ezkl,nlinear,266,4632,12,0.9045,0.0307,474.3,343.7,29.809,,,0.027626,True
ezkl,nlinear,267,4632,12,0.8779,0.0336,492.1,343.5,29.789,,,0.018631,True
ezkl,nlinear,268,4632,12,0.8045,0.0299,484.8,344.7,29.915,,,0.01837,True
ezkl,nlinear,269,4632,12,0.8301,0.0311,479.4,343.8,29.86,,,0.021154,True
ezkl,nlinear,270,4632,12,0.8055,0.0314,489.1,343.8,29.787,,,0.033109,True
ezkl,nlinear,271,4632,12,0.8628,0.0299,462.5,343.7,29.887,,,0.037005,True
ezkl,nlinear,272,4632,12,0.8261,0.0286,485.4,343.8,29.797,,,0.017659,True
ezkl,nlinear,273,4632,12,0.8603,0.0287,470.8,360.1,29.883,,,0.038991,True
ezkl,nlinear,274,4632,12,0.8256,0.027,484.5,344.8,29.786,,,0.143892,True
ezkl,nlinear,275,4632,12,0.8476,0.0328,479.0,343.8,29.81,,,0.11601,True
ezkl,nlinear,276,4632,12,0.8712,0.0301,470.6,343.7,29.751,,,0.039168,True
ezkl,nlinear,277,4632,12,0.8601,0.0311,475.5,343.7,29.843,,,0.027374,True
ezkl,nlinear,278,4632,12,0.8555,0.0292,469.9,343.7,29.865,,,0.017171,True
ezkl,nlinear,279,4632,12,1.0957,0.0295,481.9,343.4,29.797,,,0.04648,True
ezkl,nlinear,280,4632,12,0.902,0.0312,463.4,343.6,29.908,,,0.028842,True
ezkl,nlinear,281,4632,12,0.8744,0.0291,475.7,344.0,29.835,,,0.195217,True
ezkl,nlinear,282,4632,12,0.9693,0.0353,481.8,344.1,29.787,,,0.025513,True
